s_id,country,type,servings
1,Albania,beer,89
2,Albania,spirit,132
3,Albania,wine,54
4,Algeria,beer,25
5,Algeria,wine,14
6,Andorra,beer,245
7,Andorra,spirit,138
8,Andorra,wine,312
9,Angola,beer,217
10,Angola,spirit,57
11,Angola,wine,45
12,Antigua & Barbuda,beer,102
13,Antigua & Barbuda,spirit,128
14,Antigua & Barbuda,wine,45
15,Argentina,beer,193
16,Argentina,spirit,25
17,Argentina,wine,221
18,Armenia,beer,21
19,Armenia,spirit,179
20,Armenia,wine,11
21,Australia,beer,261
22,Australia,spirit,72
23,Australia,wine,212
24,Austria,beer,279
25,Austria,spirit,75
26,Austria,wine,191
27,Azerbaijan,beer,21
28,Azerbaijan,spirit,46
29,Azerbaijan,wine,5
30,Bahamas,beer,122
31,Bahamas,spirit,176
32,Bahamas,wine,51
33,Bahrain,beer,42
34,Bahrain,spirit,63
35,Bahrain,wine,7
36,Barbados,beer,143
37,Barbados,spirit,173
38,Barbados,wine,36
39,Belarus,beer,142
40,Belarus,spirit,373
41,Belarus,wine,42
42,Belgium,beer,295
43,Belgium,spirit,84
44,Belgium,wine,212
45,Belize,beer,263
46,Belize,spirit,114
47,Belize,wine,8
48,Benin,beer,34
49,Benin,spirit,4
50,Benin,wine,13
51,Bhutan,beer,23
52,Bolivia,beer,167
53,Bolivia,spirit,41
54,Bolivia,wine,8
55,Bosnia-Herzegovina,beer,76
56,Bosnia-Herzegovina,spirit,173
57,Bosnia-Herzegovina,wine,8
58,Botswana,beer,173
59,Botswana,spirit,35
60,Botswana,wine,35
61,Brazil,beer,245
62,Brazil,spirit,145
63,Brazil,wine,16
64,Brunei,beer,31
65,Brunei,spirit,2
66,Brunei,wine,1
67,Bulgaria,beer,231
68,Bulgaria,spirit,252
69,Bulgaria,wine,94
70,Burkina Faso,beer,25
71,Burkina Faso,spirit,7
72,Burkina Faso,wine,7
73,Burundi,beer,88
74,Cote d'Ivoire,beer,37
75,Cote d'Ivoire,spirit,1
76,Cote d'Ivoire,wine,7
77,Cabo Verde,beer,144
78,Cabo Verde,spirit,56
79,Cabo Verde,wine,16
80,Cambodia,beer,57
81,Cambodia,spirit,65
82,Cambodia,wine,1
83,Cameroon,beer,147
84,Cameroon,spirit,1
85,Cameroon,wine,4
86,Canada,beer,240
87,Canada,spirit,122
88,Canada,wine,100
89,Central African Republic,beer,17
90,Central African Republic,spirit,2
91,Central African Republic,wine,1
92,Chad,beer,15
93,Chad,spirit,1
94,Chad,wine,1
95,Chile,beer,130
96,Chile,spirit,124
97,Chile,wine,172
98,China,beer,79
99,China,spirit,192
100,China,wine,8
101,Colombia,beer,159
102,Colombia,spirit,76
103,Colombia,wine,3
104,Comoros,beer,1
105,Comoros,spirit,3
106,Comoros,wine,1
107,Congo,beer,76
108,Congo,spirit,1
109,Congo,wine,9
110,Cook Islands,spirit,254
111,Cook Islands,wine,74
112,Costa Rica,beer,149
113,Costa Rica,spirit,87
114,Costa Rica,wine,11
115,Croatia,beer,230
116,Croatia,spirit,87
117,Croatia,wine,254
118,Cuba,beer,93
119,Cuba,spirit,137
120,Cuba,wine,5
121,Cyprus,beer,192
122,Cyprus,spirit,154
123,Cyprus,wine,113
124,Czech Republic,beer,361
125,Czech Republic,spirit,170
126,Czech Republic,wine,134
127,DR Congo,beer,32
128,DR Congo,spirit,3
129,DR Congo,wine,1
130,Denmark,beer,224
131,Denmark,spirit,81
132,Denmark,wine,278
133,Djibouti,beer,15
134,Djibouti,spirit,44
135,Djibouti,wine,3
136,Dominica,beer,52
137,Dominica,spirit,286
138,Dominica,wine,26
139,Dominican Republic,beer,193
140,Dominican Republic,spirit,147
141,Dominican Republic,wine,9
142,Ecuador,beer,162
143,Ecuador,spirit,74
144,Ecuador,wine,3
145,Egypt,beer,6
146,Egypt,spirit,4
147,Egypt,wine,1
148,El Salvador,beer,52
149,El Salvador,spirit,69
150,El Salvador,wine,2
151,Equatorial Guinea,beer,92
152,Equatorial Guinea,wine,233
153,Eritrea,beer,18
154,Estonia,beer,224
155,Estonia,spirit,194
156,Estonia,wine,59
157,Ethiopia,beer,20
158,Ethiopia,spirit,3
159,Fiji,beer,77
160,Fiji,spirit,35
161,Fiji,wine,1
162,Finland,beer,263
163,Finland,spirit,133
164,Finland,wine,97
165,France,beer,127
166,France,spirit,151
167,France,wine,370
168,Gabon,beer,347
169,Gabon,spirit,98
170,Gabon,wine,59
171,Gambia,beer,8
172,Gambia,wine,1
173,Georgia,beer,52
174,Georgia,spirit,100
175,Georgia,wine,149
176,Germany,beer,346
177,Germany,spirit,117
178,Germany,wine,175
179,Ghana,beer,31
180,Ghana,spirit,3
181,Ghana,wine,10
182,Greece,beer,133
183,Greece,spirit,112
184,Greece,wine,218
185,Grenada,beer,199
186,Grenada,spirit,438
187,Grenada,wine,28
188,Guatemala,beer,53
189,Guatemala,spirit,69
190,Guatemala,wine,2
191,Guinea,beer,9
192,Guinea,wine,2
193,Guinea-Bissau,beer,28
194,Guinea-Bissau,spirit,31
195,Guinea-Bissau,wine,21
196,Guyana,beer,93
197,Guyana,spirit,302
198,Guyana,wine,1
199,Haiti,beer,1
200,Haiti,spirit,326
201,Haiti,wine,1
202,Honduras,beer,69
203,Honduras,spirit,98
204,Honduras,wine,2
205,Hungary,beer,234
206,Hungary,spirit,215
207,Hungary,wine,185
208,Iceland,beer,233
209,Iceland,spirit,61
210,Iceland,wine,78
211,India,beer,9
212,India,spirit,114
213,Indonesia,beer,5
